Comment,Designator,Footprint,LCSC,Quantity
100,R13,R_0603_1608Metric,C22775,1
100K,"R10,R55",R_0603_1608Metric,C25803,2
100k,R3,R_0402_1005Metric,C25741,1
100k,"R53,R54",R_0603_1608Metric,C25803,2
100nF,"C10,C6",C_0402_1005Metric,C307331,2
10k,"R14,R15,R16,R18,R19,R6",R_0603_1608Metric,C25804,6
1k,"R2,R4",R_1206_3216Metric,C4410,2
1uF,"C1,C2,C3,C4",C_0603_1608Metric,C5199872,4
22K,R11,R_0603_1608Metric,C31850,1
22k,R5,R_0603_1608Metric,C31850,1
3.3uH,L1,IND-SMD_L7.2-W6.6_GPSR07X0,C5189747,1
33uF,"C7,C8",C_0805_2012Metric,C342635,2
4.7k,R21,R_0603_1608Metric,C23162,1
4.7uf,C50,C_1206_3216Metric,C29823,1
470,R1,R_0603_1608Metric,C23179,1
5.1k,"R7,R8",R_0603_1608Metric,C23186,2
6.8uF,C5,C_1206_3216Metric,C92797,1
ESDA25P35-1U1M,"D11,D50",TVS_ESDA25P35-1U1M,C1974707,2
ESDA25W,D3,SOT65P210X110-3N,C2935152,1
ESP32-C6-WROOM-1,U6,ESP32-C6-WROOM-1_edit,C5366877,1
STL6P3LLH6,"Q1,Q2",mosfetty,C49452349,2
STUSB4500QTR,U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm,C2678061,1
SW_Push,"SW5,SW6",SW_TS-1088-AR02016,C720477,2
Schottky,D4,D_SOD-323,C7502694,1
Stepper_Motor,M1,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,C5361047,1
TPS54308DDCT,U5,SOT95P280X110-6N,C168839,1
USBLC6-2SC6,U4,SOT-23-6,C7519,1
USB_C_Receptacle_USB2.0_16P,"J1,J2",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2765186,2
Overture_title,REF**,Overture_title,,1
